"lon","lat","WMO ID","Deployment IDs","Hull","Start current deployment","Start of real-time data","Transmission Status","Location","Buoy Latitude","Buoy Longitude","Surveyed Water Depth (m)","BPR Latitude","BPR Longitude","PAROS Returned Depth (m)","Ocean Designator","Primary GTS ID","Secondary GTS ID","Last Service Date","Date Station Established","Trigger Threshold (mm)","Generation","Primary Transmitter ID","Secondary Transmitter ID","Clock Offset (sec)","PAROS Serial Number","Buoy/BPR Firmware"
-169.888333333333,49.6683333333333,"46408","46408_20140925","2.6D28","2014-09-25","2014-09-25 21:15:52","Transmitting","NW Pacific South of AK","49° 40' 6"" N","169° 53' 18"" W","5412","49° 39' 45"" N","169° 52' 18"" W","5393","P15","DD46408P","DD46408S","2014-09-25","2006-08-13","30","2.1","F08P","F08S"," ","120072","2.39/2.78"
-148.508611111111,55.2930555555556,"46409","46409_20160703","2.6D83","2016-07-03","2016-07-03 23:40:08","Transmitting","240 NM Southeast of Kodiak, AK","55° 17' 35"" N","148° 30' 31"" W","4244","55° 18' 0"" N","148° 30' 55"" W","4194","P11","DD46409P","DD46409S","2016-07-03","2005-09-29","30","2.1","F09P","F09S"," ","117755","2.39/2.78"
-143.798333333333,57.65,"46410","46410_20151007","2.6D48","2015-10-07","2015-10-07 22:15:52","Transmitting","330 NM Southeast of Anchorage, AK","57° 39' 0"" N","143° 47' 54"" W","3783","57° 38' 58"" N","143° 48' 9"" W","3724","P10","DD46410P","DD46410S","2015-10-07","2006-07-27","30","2.1","F10P","F10S"," ","120077","2.39/2.78"
-127.081666666667,39.3333333333333,"46411","46411_20151017","2.6D08","2015-10-17","2015-10-17 03:15:17","Transmitting","150NM West of Mendocino Bay, CA","39° 20' 0"" N","127° 4' 54"" W","4334","39° 20' 11"" N","127° 4' 31"" W","4286","P13","DD46411P","DD46411S","2015-10-17","2005-09-27","30","2.1","F11P","F11S"," ","130618","2.39/2.78"
-120.575555555556,32.4638888888889,"46412","46412_20140312","2.6D74","2014-03-12","2014-03-12 18:15:47","Transmitting","190 NM West-Southwest of San Diego, CA","32° 27' 50"" N","120° 34' 32"" W","3770","32° 27' 26"" N","120° 33' 39"" W","3718","P7","DD46412P","DD46412S","2015-10-24","2005-08-26","30","2.1","F12P","F12S"," ","120081","2.39/2.78"
-174.226944444444,47.9988888888889,"46413","46413_20160710","2.6D20","2016-07-10","2016-07-10 03:15:00","Transmitting","243NM South-Southeast of Adak Island, AK","47° 59' 56"" N","174° 13' 37"" W","5614","48° 0' 6"" N","174° 12' 6"" W","5583","P16","DD46413P","DD46413S","2016-07-10","2006-08-08","30","2.1","F13P","F13S"," ","105440","2.39/2.78"
-129.619444444444,48.7961111111111,"46419","46419_20151014","2.6D09","2015-10-14","2015-10-14 13:15:03","Transmitting","300 NM West-Northwest of Seattle, WA","48° 47' 46"" N","129° 37' 10"" W","2805","48° 47' 17"" N","129° 37' 2"" W","2773","P26","DD46419P","DD46419S","2015-10-14","2006-07-23","30","2.1","F19P","F19S"," ","131020","2.39/2.78"
-156.545555555556,19.5533333333333,"51407","51407_20140716","2.6D69","2014-07-16","2014-07-16 18:31:41","Transmitting","140 NM Southeast of Honolulu, HI","19° 33' 12"" N","156° 32' 44"" W","4738","19° 33' 38"" N","156° 32' 50"" W","4738","P32","DD51407P","DD51407S","2014-07-16","2005-07-28","30","2.1","Q07P","Q07S"," ","114429","2.39/2.78"
-176.303333333333,-9.51666666666667,"51425","51425_20160905","2.6D77","2016-09-05","2016-09-05 04:15:00","Transmitting","370 NM NW of Apia, Samoa","9° 31' 0"" S","176° 18' 12"" W","4921","9° 30' 54"" S","176° 19' 12"" W","4889","P27","DD51425P","DD51425S","2016-09-05","2008-02-28","30","2.1","QC5P","QC5S"," ","106122","2.39/2.78"
-168.385,-23.11,"51426","51426_20160913","2.6D33","2016-09-13","2016-09-13 00:00:00","Transmitting","400 NM Southeast of Tonga","23° 6' 36"" S","168° 23' 6"" W","5608","23° 5' 30"" S","168° 24' 24"" W","5522","P29","DD51426P","DD51426S","2016-09-13","2008-02-11","30","2.1","QC6P","QC6S"," ","129481","2.39/2.78"
155.754166666667,19.2608333333333,"52401","52401_20140902","2.6D01","2014-09-02","2014-09-02 05:15:29","Transmitting","610 NM Northeast of Saipan","19° 15' 39"" N","155° 45' 15"" E","5574","19° 15' 56"" N","155° 44' 4"" E","5565","P21","DD52401P","DD52401S","2014-09-02","2006-12-06","30","2.1","R01P","R01S"," ","100874","2.39/2.78"
154.038611111111,11.8686111111111,"52402","52402_20150820","2.6D12","2015-08-20","2015-08-20 16:30:56","Transmitting","790 NM Northwest of Kwajalein","11° 52' 7"" N","154° 2' 19"" E","5875","11° 51' 32"" N","154° 1' 16"" E","5875","P25","DD52402P","DD52402S","2015-08-20","2006-12-13","30","2.1","R02P","R02S"," ","95795","2.39/2.78"
145.519722222222,4.01972222222222,"52403","52403_20150817","2.6D14","2015-08-17","2015-08-17 16:15:26","Transmitting","430 NM Southwest of Truk","4° 1' 11"" N","145° 31' 11"" E","4474","4° 1' 6"" N","145° 32' 24"" E","4439","P24","DD52403P","DD52403S","2015-08-17","2006-12-16","30","2.1","R03P","R03S"," ","129494","2.39/2.78"
132.348333333333,20.7825,"52404","52404_20140825","2.6D25","2014-08-25","2014-08-25 23:15:25","No Tx Manually Set","760 NM Northeast of Manila, Philippines","20° 46' 57"" N","132° 20' 54"" E","5968","20° 47' 20"" N","132° 20' 15"" E","5919","P22","DD52404P","DD52404S","2014-08-25","2006-12-01","30","2.1","R04P","R04S"," ","129485","2.39/2.78"
132.183611111111,12.9852777777778,"52405","52405_20150831","2.6D57","2015-08-31","2015-08-31 16:15:41","Transmitting","740 NM West of Agana, Guam","12° 59' 7"" N","132° 11' 1"" E","5895","12° 59' 6"" N","132° 9' 54"" E","5735","P23","DD52405P","DD52405S","2015-08-31","2006-12-03","30","2.1","R05P","R05S"," ","129512","2.39/2.78"
164.977222222222,-5.30666666666667,"52406","52406_20160715","2.6D61","2016-07-15","2016-07-15 12:04:34","Transmitting","450 NM Northeast of the Guadalcanal","5° 18' 24"" S","164° 58' 38"" E","1764","5° 18' 22"" S","164° 58' 34"" E","1764","P28","DD52406P","DD52406S","2016-07-15","2008-03-04","30","2.1","R06P","R06S","-86400","12488","2.39/2.78"
-173.023055555556,-33.0105555555556,"54401","54401_20150710","2.6D81","2015-07-11","2015-07-11 00:10:00","No Tx Manually Set","640 NM Northeast of Auckland, New Zealand","33° 0' 38"" S","173° 1' 23"" W","5873","33° 0' 24"" S","172° 59' 52"" W","6194","P30","DD54401P","DD54401S","2015-07-11","2008-02-14","30","2.1","T01P","T01S"," ","114017","2.39/2.78"
158.452777777778,-15.6641666666667,"55012","55012_20060101","Unknown","2006-01-01","2006-01-01 00:00:00","No Tx > 12 Hours","Coral Sea 1     -      1285km ENE of Townsville","15° 39' 51"" S","158° 27' 10"" E","3284","15° 39' 51"" S","158° 27' 10"" E","3243","55012","DD55012P","DD55012S","2006-01-01","2008-01-01"," ","2.0","X12P","X12S"," ","W55012","2.15/2.52"
160.256111111111,-46.8297222222222,"55015","55015_20060101","Unknown","2006-01-01","2006-01-01 00:00:00","Transmitting","Tasman Sea     -     1110km ESE of Hobart","46° 49' 47"" S","160° 15' 22"" E","5020","46° 49' 47"" S","160° 15' 22"" E","5015.25","55015","DD55015P","DD55015S","2006-01-01","2008-01-01"," ","2.0","X15P","X15S"," ","W55015","2.15/2.52"
153.537222222222,-14.7147222222222,"55023","55023_09152009","Unknown","2009-09-15","2009-09-15 10:55:50","Transmitting","Coral Sea 2     -      870km NE of Townsville","14° 42' 53"" S","153° 32' 14"" E","4595","14° 42' 53"" S","153° 32' 14"" E","4594","55023","DD55023P","DD55023S","2009-09-15","2009-09-14"," ","2.0","X23P","X23S"," ","W55023","2.15/2.52"
161.841111111111,-44.8977777777778,"55042","55042_20110408","Unknown","2011-04-04","2011-04-08 09:35:39","Transmitting","Tasman Sea 2     -     1175km ESE of Hobart","44° 53' 52"" S","161° 50' 28"" E","4810","44° 53' 52"" S","161° 50' 28"" E","4810","55042","DD55042P","DD55042S","2011-04-08","2011-04-08"," ","2.0","X42P","X42S"," ","W55042","2.15/2.52"
109.943888888889,-14.0161111111111,"56001","56001_20060101","Unknown","2015-10-18","2015-10-18 05:45:00","Transmitting","Indian Ocean 1    -     1025km  NW of Dampier","14° 0' 58"" S","109° 56' 38"" E","5654","14° 0' 58"" S","109° 56' 38"" E","5642","56001","DD56001P","DD56001S","2015-10-18","2008-04-01"," ","2.0","X01P","X01S"," ","W56001","2.15/2.52"
117.941666666667,-15.0233333333333,"56003","56003_20060101","Unknown","2006-01-01","2006-01-01 00:00:00","Transmitting","Indian Ocean 2     -     630km NNE of Dampier","15° 1' 24"" S","117° 56' 30"" E","5663","15° 1' 24"" S","117° 56' 30"" E","5663","56003","DD56003P","DD56003S","2006-01-01","2008-04-01"," ","2.0","X03P","X03S"," ","W56003","2.15/2.52"
